Target Distance: 100, Step Size: 20
625: (x,y) = (-31.0759, -10.1637)
626: (x,y) = (-31.4575, -8.20046)
627: (x,y) = (-29.4879, -8.54776)
628: (x,y) = (-28.1239, -10.0105)
629: (x,y) = (-26.5479, -11.2418)
630: (x,y) = (-28.4605, -11.8265)
631: (x,y) = (-26.7644, -10.7667)
632: (x,y) = (-27.5136, -8.91232)
633: (x,y) = (-29.5087, -9.05184)
634: (x,y) = (-31.4978, -8.84278)
635: (x,y) = (-30.6525, -10.6554)
636: (x,y) = (-32.0912, -12.0447)
637: (x,y) = (-32.9047, -10.2176)
638: (x,y) = (-30.9074, -10.113)
639: (x,y) = (-28.932, -10.4258)
640: (x,y) = (-30.9171, -10.1821)
641: (x,y) = (-32.3798, -8.81808)
642: (x,y) = (-30.9171, -7.45409)
643: (x,y) = (-31.4684, -5.53156)
644: (x,y) = (-31.2941, -7.52395)
645: (x,y) = (-32.4125, -5.86588)
646: (x,y) = (-31.9626, -3.91714)
647: (x,y) = (-31.7535, -1.92809)
648: (x,y) = (-31.0043, -3.78246)
649: (x,y) = (-32.6624, -2.66408)
650: (x,y) = (-30.6928, -2.31678)
651: (x,y) = (-29.5744, -0.658704)
652: (x,y) = (-27.6048, -0.311408)
653: (x,y) = (-29.5454, 0.172436)
654: (x,y) = (-27.7633, -0.735545)
655: (x,y) = (-27.2121, 1.18698)
656: (x,y) = (-25.2133, 1.11718)
657: (x,y) = (-24.662, 3.0397)
658: (x,y) = (-26.0762, 1.62549)
659: (x,y) = (-25.8672, 3.61453)
660: (x,y) = (-27.7693, 4.23257)
661: (x,y) = (-26.0919, 3.14329)
662: (x,y) = (-26.1966, 1.14603)
663: (x,y) = (-25.9875, -0.843014)
664: (x,y) = (-27.2997, -2.35243)
665: (x,y) = (-29.1268, -1.53896)
666: (x,y) = (-30.8927, -2.4779)
667: (x,y) = (-32.1782, -4.00999)
668: (x,y) = (-33.2675, -5.68733)
669: (x,y) = (-34.6315, -4.22463)
670: (x,y) = (-36.5948, -4.60624)
671: (x,y) = (-36.8731, -6.58678)
672: (x,y) = (-35.9651, -8.36879)
673: (x,y) = (-33.9761, -8.15974)
674: (x,y) = (-33.4248, -6.23721)
675: (x,y) = (-34.8875, -4.87322)
676: (x,y) = (-34.8526, -6.87291)
677: (x,y) = (-35.3365, -8.8135)
678: (x,y) = (-33.6221, -9.84358)
679: (x,y) = (-34.4674, -11.6562)
680: (x,y) = (-34.5372, -13.655)
681: (x,y) = (-35.9265, -15.0937)
682: (x,y) = (-36.1702, -17.0787)
683: (x,y) = (-38.1593, -16.8697)
684: (x,y) = (-38.9727, -15.0426)
685: (x,y) = (-39.32, -13.073)
686: (x,y) = (-41.102, -12.165)
687: (x,y) = (-40.5508, -10.2425)
688: (x,y) = (-38.6381, -10.8272)
689: (x,y) = (-38.2565, -12.7905)
690: (x,y) = (-39.766, -14.1026)
691: (x,y) = (-40.7356, -12.3534)
692: (x,y) = (-40.8054, -10.3546)
693: (x,y) = (-42.7905, -10.5983)
694: (x,y) = (-43.5719, -12.4393)
695: (x,y) = (-45.5716, -12.4044)
696: (x,y) = (-47.3037, -13.4044)
697: (x,y) = (-45.5544, -14.374)
698: (x,y) = (-47.5435, -14.5831)
699: (x,y) = (-49.3845, -13.8016)
After 699 steps, the subject has the following location:
(x,y) = (-49.3845, -13.8016)
 or
(m,a) = (51.2768, -164.386)
Average outward distance per step = 0.0733574
